Brent + 3Y;;Brent + 2Y;;Brent + 1Y;;Brent + 6M;;WTI + 3Y;;WTI + 2Y;;WTI + 1Y;;WTI + 6M;
Date;COM1 Comdty;Date;COM0 Comdty;Date;COM9 Comdty;Date;COZ8 Comdty;Date;CLK1 Comdty;Date;CLK0 Comdty;Date;CLK9 Comdty;Date;CLX8 Comdty
04.03.2011;115,75;16.03.2017;52,24;03.09.2013;88,48;03.09.2012;91,23;;;05.10.2017;50,41;05.10.2016;55,64;02.10.2015;55,05
07.03.2011;115,19;17.03.2017;52,17;04.09.2013;88,76;04.09.2012;90,48;;;06.10.2017;49,53;06.10.2016;55,83;05.10.2015;56,02
08.03.2011;113,35;20.03.2017;52,17;05.09.2013;88,69;05.09.2012;91,15;;;09.10.2017;49,79;07.10.2016;55,58;06.10.2015;57,39
09.03.2011;115,84;21.03.2017;52,03;06.09.2013;88,6;06.09.2012;90,74;;;10.10.2017;50,19;10.10.2016;56;07.10.2015;57,07
10.03.2011;115,2;22.03.2017;52,07;09.09.2013;87,94;07.09.2012;91,13;;;11.10.2017;50,5;11.10.2016;55,34;08.10.2015;56,93
11.03.2011;113,78;23.03.2017;51,72;10.09.2013;88,15;10.09.2012;91,15;;;12.10.2017;50,13;12.10.2016;55,08;09.10.2015;57,41
14.03.2011;113,61;24.03.2017;51,89;11.09.2013;88,11;11.09.2012;91,22;;;13.10.2017;50,37;13.10.2016;55,28;12.10.2015;56,29
15.03.2011;108,49;27.03.2017;52,37;12.09.2013;88,34;12.09.2012;90,6;;;16.10.2017;50,3;14.10.2016;55,16;13.10.2015;56,45
16.03.2011;110,44;28.03.2017;52,28;13.09.2013;88,34;13.09.2012;90,54;;;17.10.2017;50,03;17.10.2016;55,16;14.10.2015;56,62
17.03.2011;114,65;29.03.2017;52,64;16.09.2013;88,38;14.09.2012;91,19;;;18.10.2017;50,27;18.10.2016;55,61;15.10.2015;56,57
18.03.2011;113,77;30.03.2017;53,2;17.09.2013;88,31;17.09.2012;90,85;;;19.10.2017;50,04;19.10.2016;56,19;16.10.2015;57,03
21.03.2011;114,91;31.03.2017;53,5;18.09.2013;88,23;18.09.2012;91,33;;;20.10.2017;50,22;20.10.2016;55,54;19.10.2015;56,01
22.03.2011;115,64;03.04.2017;53,71;19.09.2013;88,31;19.09.2012;90,67;;;23.10.2017;50,01;21.10.2016;56,1;20.10.2015;56,41
23.03.2011;115,47;04.04.2017;54,26;20.09.2013;88,4;20.09.2012;91,93;;;24.10.2017;50,38;24.10.2016;56,28;21.10.2015;56,01
24.03.2011;115,6;05.04.2017;54,21;23.09.2013;88,48;21.09.2012;92;;;25.10.2017;50,36;25.10.2016;55,96;22.10.2015;56,52
25.03.2011;115,42;06.04.2017;54,38;24.09.2013;88,67;24.09.2012;91,79;;;26.10.2017;50,44;26.10.2016;55,17;23.10.2015;55,92
28.03.2011;114,58;07.04.2017;54,71;25.09.2013;88,36;25.09.2012;91,15;;;27.10.2017;50,7;27.10.2016;55,22;26.10.2015;55,92
29.03.2011;114,96;10.04.2017;55,45;26.09.2013;88,85;26.09.2012;90,51;;;30.10.2017;50,7;28.10.2016;54,57;27.10.2015;55,21
30.03.2011;114,95;11.04.2017;55,75;27.09.2013;88,3;27.09.2012;90,58;;;31.10.2017;50,63;31.10.2016;53,14;28.10.2015;56,72
31.03.2011;117,2;12.04.2017;55,9;30.09.2013;88,25;28.09.2012;91,61;;;01.11.2017;50,29;01.11.2016;53,08;29.10.2015;56,44
01.04.2011;118,41;13.04.2017;55,89;01.10.2013;88,51;01.10.2012;92,43;;;02.11.2017;50,35;02.11.2016;52,33;30.10.2015;56,77
04.04.2011;120,66;17.04.2017;55,68;02.10.2013;88,47;02.10.2012;92,78;;;03.11.2017;50,69;03.11.2016;51,84;02.11.2015;56,53
05.04.2011;121,89;18.04.2017;55,43;03.10.2013;88,16;03.10.2012;90,76;;;06.11.2017;51,08;04.11.2016;51,33;03.11.2015;57,38
06.04.2011;121,93;19.04.2017;54,18;04.10.2013;88,52;04.10.2012;92,67;;;07.11.2017;51,33;07.11.2016;51,96;04.11.2015;56,19
07.04.2011;122,26;20.04.2017;53,94;07.10.2013;88,66;05.10.2012;92,19;;;08.11.2017;51,84;08.11.2016;52,2;05.11.2015;56,03
08.04.2011;126,12;21.04.2017;53,73;08.10.2013;88,21;08.10.2012;92,29;;;09.11.2017;51,93;09.11.2016;52,78;06.11.2015;55,66
11.04.2011;123,42;24.04.2017;53,23;09.10.2013;88,31;09.10.2012;92,15;;;10.11.2017;52,23;10.11.2016;52,47;09.11.2015;55,66
12.04.2011;120,43;25.04.2017;53,2;10.10.2013;88,1;10.10.2012;91,79;;;13.11.2017;52,5;11.11.2016;51,31;10.11.2015;55,86
13.04.2011;122,33;26.04.2017;53,22;11.10.2013;88,32;11.10.2012;91,52;;;14.11.2017;51,65;14.11.2016;50,65;11.11.2015;54,82
14.04.2011;122;27.04.2017;52,6;14.10.2013;88,02;12.10.2012;92,03;;;15.11.2017;51,4;15.11.2016;52,1;12.11.2015;54,44
15.04.2011;123,45;28.04.2017;52,81;15.10.2013;88,07;15.10.2012;92,73;;;16.11.2017;51,07;16.11.2016;51,77;13.11.2015;54,24
18.04.2011;121,61;01.05.2017;52,44;16.10.2013;87,34;16.10.2012;92,15;;;17.11.2017;51,29;17.11.2016;51,99;16.11.2015;54,39
19.04.2011;121,33;02.05.2017;51,51;17.10.2013;87,42;17.10.2012;92,45;;;20.11.2017;50,91;18.11.2016;52,25;17.11.2015;53,46
20.04.2011;123,85;03.05.2017;51,91;18.10.2013;88,17;18.10.2012;91,37;;;21.11.2017;50,88;21.11.2016;53,66;18.11.2015;53,55
21.04.2011;123,99;04.05.2017;50,72;21.10.2013;88,52;19.10.2012;90,54;;;22.11.2017;51,33;22.11.2016;53,81;19.11.2015;53,32
25.04.2011;123,66;05.05.2017;52,06;22.10.2013;88,32;22.10.2012;90,61;;;24.11.2017;51,71;23.11.2016;53,67;20.11.2015;53,45
26.04.2011;124,14;08.05.2017;52,18;23.10.2013;87,77;23.10.2012;89,72;;;27.11.2017;52,11;25.11.2016;52,18;23.11.2015;53,74
27.04.2011;125,13;09.05.2017;51,83;24.10.2013;87,32;24.10.2012;89,88;;;28.11.2017;52,2;28.11.2016;52,99;24.11.2015;54,92
28.04.2011;125,02;10.05.2017;52,52;25.10.2013;87,6;25.10.2012;90,36;;;29.11.2017;52,02;29.11.2016;51,43;25.11.2015;54,89
29.04.2011;125,89;11.05.2017;52,74;28.10.2013;88,08;26.10.2012;91,54;;;30.11.2017;52,03;30.11.2016;53,88;27.11.2015;54,16
02.05.2011;125,12;12.05.2017;52,41;29.10.2013;88,08;29.10.2012;90,9;;;01.12.2017;52,02;01.12.2016;54,02;30.11.2015;53,93
03.05.2011;122,45;15.05.2017;52,38;30.10.2013;89,11;30.10.2012;90,54;;;04.12.2017;51,93;02.12.2016;54,84;01.12.2015;53,85
04.05.2011;121,19;16.05.2017;52,62;31.10.2013;88,94;31.10.2012;89,97;;;05.12.2017;52,35;05.12.2016;55,34;02.12.2015;53,25
05.05.2011;110,8;17.05.2017;52,79;01.11.2013;88,55;01.11.2012;90,7;;;06.12.2017;51,88;06.12.2016;54,79;03.12.2015;53,87
06.05.2011;109,13;18.05.2017;52,99;04.11.2013;88,44;02.11.2012;89,86;;;07.12.2017;52,35;07.12.2016;54,19;04.12.2015;53,52
09.05.2011;115,9;19.05.2017;53,73;05.11.2013;88,69;05.11.2012;90,81;;;08.12.2017;52,6;08.12.2016;54,52;07.12.2015;52,97
10.05.2011;117,63;22.05.2017;53,98;06.11.2013;88,46;06.11.2012;92,35;;;11.12.2017;52,72;09.12.2016;54,83;08.12.2015;52,8
11.05.2011;112,57;23.05.2017;54,1;07.11.2013;88,56;07.11.2012;90,16;;;12.12.2017;52,11;12.12.2016;54,75;09.12.2015;52,69
12.05.2011;112,98;24.05.2017;53,59;08.11.2013;88,12;08.11.2012;90,74;;;13.12.2017;51,25;13.12.2016;55,11;10.12.2015;53,02
13.05.2011;113,83;25.05.2017;52,28;11.11.2013;88,34;09.11.2012;92,24;;;14.12.2017;51,62;14.12.2016;54,16;11.12.2015;52,28
16.05.2011;112,73;26.05.2017;52,82;12.11.2013;88,43;12.11.2012;92,41;;;15.12.2017;51,67;15.12.2016;54,08;14.12.2015;51,34
29.05.2014;93,39;29.05.2017;52,99;13.11.2013;88,62;13.11.2012;92,46;;;18.12.2017;52,26;16.12.2016;54,6;15.12.2015;51,6
30.05.2014;92,79;30.05.2017;53,07;14.11.2013;88,3;14.11.2012;92,32;;;19.12.2017;52,66;19.12.2016;54,77;16.12.2015;51
02.06.2014;92,98;31.05.2017;52,24;15.11.2013;88,68;15.11.2012;91,31;;;20.12.2017;52,65;20.12.2016;55,38;17.12.2015;50,82
03.06.2014;92,9;01.06.2017;52,2;18.11.2013;88,51;16.11.2012;90,6;;;21.12.2017;52,85;21.12.2016;54,76;18.12.2015;50,47
04.06.2014;92,6;02.06.2017;51,99;19.11.2013;87,56;19.11.2012;90,96;;;22.12.2017;53,13;22.12.2016;55,05;21.12.2015;49,74
05.06.2014;93,19;05.06.2017;51,93;20.11.2013;87,94;20.11.2012;90,6;;;26.12.2017;53,82;23.12.2016;55,31;22.12.2015;49,01
06.06.2014;92,71;06.06.2017;51,83;21.11.2013;87,79;21.11.2012;91,44;;;27.12.2017;53,84;27.12.2016;55,9;23.12.2015;49,51
09.06.2014;93,04;07.06.2017;50,97;22.11.2013;88,1;22.11.2012;92,08;;;28.12.2017;53,92;28.12.2016;56,07;24.12.2015;50,45
10.06.2014;93,25;08.06.2017;51,78;25.11.2013;88,76;23.11.2012;92,83;;;29.12.2017;53,94;29.12.2016;56,11;28.12.2015;49,97
11.06.2014;93,48;09.06.2017;51,88;26.11.2013;88,72;26.11.2012;92,04;;;02.01.2018;54,08;30.12.2016;56,09;29.12.2015;50,7
12.06.2014;93,62;12.06.2017;51,88;27.11.2013;89,06;27.11.2012;91,47;;;03.01.2018;54,36;03.01.2017;55,25;30.12.2015;49,98
13.06.2014;93,42;13.06.2017;52,1;28.11.2013;89,25;28.11.2012;91,72;;;04.01.2018;54,37;04.01.2017;56,38;31.12.2015;50,56
16.06.2014;94,65;14.06.2017;51,52;29.11.2013;88,56;29.11.2012;91,42;;;05.01.2018;54,63;05.01.2017;56,85;04.01.2016;50,43
17.06.2014;96,14;15.06.2017;52,05;02.12.2013;89,14;30.11.2012;90,98;;;08.01.2018;54,98;06.01.2017;57,03;05.01.2016;49,92
18.06.2014;96,56;16.06.2017;52,19;03.12.2013;89,19;03.12.2012;90,51;;;09.01.2018;55,42;09.01.2017;55,9;06.01.2016;48,69
19.06.2014;96,93;19.06.2017;51,9;04.12.2013;88,69;04.12.2012;89,76;;;10.01.2018;55,18;10.01.2017;55,37;07.01.2016;47,8
20.06.2014;96,99;20.06.2017;51,76;05.12.2013;88,15;05.12.2012;90,13;;;11.01.2018;55,27;11.01.2017;56,34;08.01.2016;47,75
23.06.2014;97,46;21.06.2017;51,35;06.12.2013;88,7;06.12.2012;90,05;;;12.01.2018;55,5;12.01.2017;56,84;11.01.2016;46,35
24.06.2014;98,15;22.06.2017;51,28;09.12.2013;88,86;07.12.2012;90,35;;;16.01.2018;55,45;13.01.2017;56,19;12.01.2016;45,05
25.06.2014;98,08;23.06.2017;51,18;10.12.2013;89,19;10.12.2012;89,73;;;17.01.2018;55,72;17.01.2017;55,83;13.01.2016;44,12
26.06.2014;97,51;26.06.2017;51,3;11.12.2013;89,7;11.12.2012;90,01;;;18.01.2018;55,85;18.01.2017;54,95;14.01.2016;44,8
27.06.2014;97,8;27.06.2017;51,95;12.12.2013;89,28;12.12.2012;90,44;;;19.01.2018;55,83;19.01.2017;55,1;15.01.2016;42,57
30.06.2014;97,5;28.06.2017;52,25;13.12.2013;88,92;13.12.2012;89,51;;;22.01.2018;55,97;20.01.2017;56,02;19.01.2016;41,52
01.07.2014;98,01;29.06.2017;52,59;16.12.2013;88,78;14.12.2012;90,81;;;23.01.2018;56,36;23.01.2017;55,69;20.01.2016;40,95
02.07.2014;98,16;30.06.2017;53,56;17.12.2013;88,43;17.12.2012;89,58;;;24.01.2018;56,1;24.01.2017;55,85;21.01.2016;41,48
03.07.2014;98,24;03.07.2017;54,46;18.12.2013;88,28;18.12.2012;89,28;;;25.01.2018;56,34;25.01.2017;55,47;22.01.2016;43,98
04.07.2014;97,99;04.07.2017;54,32;19.12.2013;88,06;19.12.2012;90,06;;;26.01.2018;56,41;26.01.2017;56,09;25.01.2016;43,69
07.07.2014;98,24;05.07.2017;53,19;20.12.2013;88,06;20.12.2012;90,22;;;29.01.2018;56,03;27.01.2017;55,37;26.01.2016;44,49
08.07.2014;97,7;06.07.2017;53,2;23.12.2013;87,49;21.12.2012;90,04;;;30.01.2018;55,4;30.01.2017;55,23;27.01.2016;45,22
09.07.2014;97,84;07.07.2017;52,26;24.12.2013;87,4;24.12.2012;89,98;;;31.01.2018;55,42;31.01.2017;55,34;28.01.2016;45,9
10.07.2014;97,73;10.07.2017;52,86;26.12.2013;87,32;26.12.2012;90,19;;;01.02.2018;55,58;01.02.2017;55,94;29.01.2016;47,08
11.07.2014;97,94;11.07.2017;53,53;27.12.2013;87,17;27.12.2012;90,09;;;02.02.2018;54,61;02.02.2017;55,71;01.02.2016;45,77
14.07.2014;98,9;12.07.2017;53,44;30.12.2013;87,09;28.12.2012;89,53;;;05.02.2018;54,37;03.02.2017;56,13;02.02.2016;44,96
15.07.2014;98,29;13.07.2017;53,74;31.12.2013;86,67;31.12.2012;89,9;;;06.02.2018;53,93;06.02.2017;55,67;03.02.2016;46,03
16.07.2014;97,57;14.07.2017;54,17;02.01.2014;85,83;02.01.2013;89,73;;;07.02.2018;52,91;07.02.2017;54,85;04.02.2016;46,22
17.07.2014;96,61;17.07.2017;53,82;03.01.2014;85,97;03.01.2013;89,24;;;08.02.2018;52,81;08.02.2017;54,87;05.02.2016;46,15
18.07.2014;95,95;18.07.2017;53,74;06.01.2014;86,55;04.01.2013;89,39;;;09.02.2018;51,7;09.02.2017;55,18;08.02.2016;45,68
21.07.2014;97,66;19.07.2017;54,06;07.01.2014;85,83;07.01.2013;89,7;;;12.02.2018;51,88;10.02.2017;55,61;09.02.2016;43,07
22.07.2014;96,88;20.07.2017;53,6;08.01.2014;85,91;08.01.2013;89,94;;;13.02.2018;52,33;13.02.2017;54,92;10.02.2016;43,58
23.07.2014;97,68;21.07.2017;52,74;09.01.2014;86,3;09.01.2013;90,14;;;14.02.2018;52,63;14.02.2017;54,92;11.02.2016;43,49
24.07.2014;97,49;24.07.2017;53,31;10.01.2014;86,37;10.01.2013;89,65;;;15.02.2018;52,6;15.02.2017;54,5;12.02.2016;46,04
25.07.2014;97,57;25.07.2017;54,21;13.01.2014;86,5;11.01.2013;89,55;;;16.02.2018;53,01;16.02.2017;54,26;16.02.2016;44,76
28.07.2014;97,28;26.07.2017;54,33;14.01.2014;87,54;14.01.2013;89,9;;;20.02.2018;53,63;17.02.2017;54,13;17.02.2016;46,06
29.07.2014;97,94;27.07.2017;54,11;15.01.2014;88,38;15.01.2013;89,54;;;21.02.2018;53,76;21.02.2017;53,78;18.02.2016;45,45
30.07.2014;98,2;28.07.2017;54,27;16.01.2014;88,61;16.01.2013;89,65;;;22.02.2018;54,03;22.02.2017;53,36;19.02.2016;44,48
31.07.2014;97,97;31.07.2017;54,77;17.01.2014;88,73;17.01.2013;89,64;;;23.02.2018;54,86;23.02.2017;53,83;22.02.2016;45,53
01.08.2014;98,45;01.08.2017;54,11;20.01.2014;88,88;18.01.2013;89,69;;;26.02.2018;55,4;24.02.2017;53,57;23.02.2016;44,46
04.08.2014;98,06;02.08.2017;54,36;21.01.2014;89,12;21.01.2013;89,71;;;27.02.2018;54,88;27.02.2017;53,9;24.02.2016;44,94
05.08.2014;97,87;03.08.2017;53,92;22.01.2014;90,17;22.01.2013;89,71;;;28.02.2018;53,37;28.02.2017;54,4;25.02.2016;45,12
06.08.2014;97,88;04.08.2017;54,31;23.01.2014;89,8;23.01.2013;90,33;;;01.03.2018;53,08;01.03.2017;54,24;26.02.2016;44,35
07.08.2014;98,61;07.08.2017;54,33;24.01.2014;90,36;24.01.2013;90,81;;;02.03.2018;53,39;02.03.2017;53,69;29.02.2016;45,43
08.08.2014;98,13;08.08.2017;54,03;27.01.2014;90,48;25.01.2013;90,13;;;05.03.2018;54,12;03.03.2017;54,1;01.03.2016;45,61
11.08.2014;98,13;09.08.2017;53,94;28.01.2014;91,01;28.01.2013;90,45;;;06.03.2018;54,17;06.03.2017;54,2;02.03.2016;45,46
12.08.2014;97,79;10.08.2017;52,9;29.01.2014;90,87;29.01.2013;90,18;;;07.03.2018;53,37;07.03.2017;54,07;03.03.2016;45,41
13.08.2014;98,32;11.08.2017;52,9;30.01.2014;90,41;30.01.2013;90,26;;;08.03.2018;53,29;08.03.2017;51,94;04.03.2016;46,39
14.08.2014;97,39;14.08.2017;52,3;31.01.2014;90,01;31.01.2013;90,68;;;09.03.2018;54,37;09.03.2017;51,14;07.03.2016;47,88
15.08.2014;97,85;15.08.2017;52,36;03.02.2014;90,16;01.02.2013;90,03;;;12.03.2018;54,29;10.03.2017;50,28;08.03.2016;46,87
18.08.2014;97,63;16.08.2017;52,22;04.02.2014;90,34;04.02.2013;90,17;;;13.03.2018;54,11;13.03.2017;50,46;09.03.2016;47,84
19.08.2014;97,38;17.08.2017;52,4;05.02.2014;90,91;05.02.2013;91,06;;;14.03.2018;54,41;14.03.2017;50;10.03.2016;47,41
20.08.2014;97,02;18.08.2017;53,74;06.02.2014;90,98;06.02.2013;91,96;;;15.03.2018;54,33;15.03.2017;50,27;11.03.2016;47,78
21.08.2014;96,77;21.08.2017;52,6;07.02.2014;91,75;07.02.2013;92,17;;;16.03.2018;54,61;16.03.2017;49,96;14.03.2016;46,79
22.08.2014;96,74;22.08.2017;53,34;10.02.2014;90,95;08.02.2013;93,5;;;19.03.2018;54,26;17.03.2017;49,93;15.03.2016;46,47
25.08.2014;96,86;23.08.2017;53,79;11.02.2014;91,45;11.02.2013;93,4;;;20.03.2018;54,73;20.03.2017;49,86;16.03.2016;47,29
26.08.2014;96,54;24.08.2017;53,41;12.02.2014;91,48;12.02.2013;92,59;;;21.03.2018;55,67;21.03.2017;49,73;17.03.2016;47,63
27.08.2014;96,38;25.08.2017;53,63;13.02.2014;91,86;13.02.2013;92,99;;;22.03.2018;55,52;22.03.2017;49,9;18.03.2016;47,8
28.08.2014;95,62;28.08.2017;53,12;14.02.2014;91,84;14.02.2013;93,03;;;23.03.2018;56,21;23.03.2017;49,65;21.03.2016;47,99
29.08.2014;95,52;29.08.2017;53,71;17.02.2014;92,02;15.02.2013;92,68;;;26.03.2018;56,07;24.03.2017;49,83;22.03.2016;48,2
01.09.2014;95,45;30.08.2017;53,16;18.02.2014;91,44;18.02.2013;92,19;;;27.03.2018;56,21;27.03.2017;49,89;23.03.2016;47,5
02.09.2014;95,15;31.08.2017;54,85;19.02.2014;91,41;19.02.2013;91,69;;;28.03.2018;55,95;28.03.2017;49,92;24.03.2016;47,23
03.09.2014;95,7;01.09.2017;54,88;20.02.2014;91,49;20.02.2013;91,79;;;29.03.2018;55,94;29.03.2017;50,38;28.03.2016;46,97
04.09.2014;95,52;04.09.2017;54,43;21.02.2014;91,4;21.02.2013;91,22;;;02.04.2018;54,8;30.03.2017;51,04;29.03.2016;46,76
05.09.2014;95,63;05.09.2017;54,96;24.02.2014;91,69;22.02.2013;91,44;;;03.04.2018;55,38;31.03.2017;51,36;30.03.2016;47,33
08.09.2014;96,22;06.09.2017;55,19;25.02.2014;91,29;25.02.2013;91,4;;;04.04.2018;55,4;03.04.2017;51,57;31.03.2016;47,56
09.09.2014;96,76;07.09.2017;55,29;26.02.2014;91,18;26.02.2013;91,6;;;05.04.2018;55,77;04.04.2017;52,09;01.04.2016;46,17
10.09.2014;97,25;08.09.2017;54,48;27.02.2014;91,48;27.02.2013;91,21;;;06.04.2018;54,84;05.04.2017;52,13;04.04.2016;45,15
11.09.2014;96,32;11.09.2017;54,6;28.02.2014;91,62;28.02.2013;90,68;;;09.04.2018;55,39;06.04.2017;52,45;05.04.2016;44,68
12.09.2014;96,1;12.09.2017;54,75;03.03.2014;91,32;01.03.2013;91,23;;;10.04.2018;55,99;07.04.2017;52,72;06.04.2016;45,94
15.09.2014;95,97;13.09.2017;55,05;04.03.2014;90,83;04.03.2013;91,32;;;11.04.2018;56,56;10.04.2017;53,39;07.04.2016;45,23
16.09.2014;96,1;14.09.2017;55,36;05.03.2014;90,77;05.03.2013;92,12;;;12.04.2018;56,36;11.04.2017;53,71;08.04.2016;47,06
17.09.2014;96,34;15.09.2017;55,75;06.03.2014;91,07;06.03.2013;91,79;;;13.04.2018;56,45;12.04.2017;53,84;11.04.2016;47,72
18.09.2014;96,54;18.09.2017;55,43;07.03.2014;91,53;07.03.2013;91,76;;;16.04.2018;56,22;13.04.2017;53,87;12.04.2016;48,8
19.09.2014;96,4;19.09.2017;54,97;10.03.2014;91,96;08.03.2013;92,12;;;17.04.2018;56,39;17.04.2017;53,59;13.04.2016;48,68
22.09.2014;96,47;20.09.2017;55,2;11.03.2014;92,38;11.03.2013;91,9;;;18.04.2018;56,93;18.04.2017;53,36;14.04.2016;48,12
23.09.2014;96,11;21.09.2017;55,09;12.03.2014;92,54;12.03.2013;92,01;;;19.04.2018;57,31;19.04.2017;51,81;15.04.2016;47,04
24.09.2014;95,84;22.09.2017;55,07;13.03.2014;92,72;13.03.2013;91,45;;;20.04.2018;57,34;20.04.2017;51,73;18.04.2016;46,78
25.09.2014;95,56;25.09.2017;55,3;14.03.2014;92,98;14.03.2013;91,37;;;23.04.2018;57,65;21.04.2017;51,26;19.04.2016;47,52
26.09.2014;94,41;26.09.2017;55,28;17.03.2014;92,27;15.03.2013;91,65;;;24.04.2018;57,03;24.04.2017;50,83;20.04.2016;48,87
29.09.2014;93,46;27.09.2017;55,25;18.03.2014;92,25;18.03.2013;92,27;;;25.04.2018;57,16;25.04.2017;50,74;21.04.2016;48,42
30.09.2014;92,89;28.09.2017;54,87;19.03.2014;92,07;19.03.2013;91,44;;;26.04.2018;57,2;26.04.2017;50,69;22.04.2016;49,25
01.10.2014;93,05;29.09.2017;54,93;20.03.2014;92,33;20.03.2013;91,17;;;27.04.2018;56,98;27.04.2017;50,01;25.04.2016;49,04
02.10.2014;92,57;02.10.2017;54,27;21.03.2014;92,2;21.03.2013;90,87;;;30.04.2018;57,33;28.04.2017;50,19;26.04.2016;49,69
03.10.2014;92,45;03.10.2017;54,33;24.03.2014;92,06;22.03.2013;90,93;;;01.05.2018;56,84;01.05.2017;49,9;27.04.2016;50,62
06.10.2014;93,26;04.10.2017;54,45;25.03.2014;91,96;25.03.2013;90,91;;;02.05.2018;56,92;02.05.2017;48,9;28.04.2016;50,78
07.10.2014;93,04;05.10.2017;54,94;26.03.2014;92,14;26.03.2013;91,17;;;03.05.2018;57,35;03.05.2017;49,17;29.04.2016;50,66
08.10.2014;93,39;06.10.2017;53,93;27.03.2014;92,1;27.03.2013;91,07;;;04.05.2018;58,49;04.05.2017;47,68;02.05.2016;49,84
09.10.2014;93,72;09.10.2017;54,06;28.03.2014;91,47;28.03.2013;90,98;;;07.05.2018;59,17;05.05.2017;48,67;03.05.2016;49,36
10.10.2014;94,13;10.10.2017;54,39;31.03.2014;91,65;01.04.2013;91,11;;;08.05.2018;58,26;08.05.2017;48,98;04.05.2016;49,42
13.10.2014;94,54;11.10.2017;54,68;01.04.2014;91,62;02.04.2013;91,08;;;09.05.2018;59,66;09.05.2017;48,54;05.05.2016;49,77
14.10.2014;94,58;12.10.2017;54,31;02.04.2014;92,54;03.04.2013;90,69;;;10.05.2018;60,1;10.05.2017;49,49;06.05.2016;50,42
15.10.2014;93,1;13.10.2017;54,53;03.04.2014;93,04;04.04.2013;91,5;;;11.05.2018;60,22;11.05.2017;49,76;09.05.2016;49,37
16.10.2014;91,8;16.10.2017;54,62;04.04.2014;92,89;05.04.2013;91,55;;;14.05.2018;60,54;12.05.2017;49,4;10.05.2016;50,47
17.10.2014;92,32;17.10.2017;54,39;07.04.2014;93,01;08.04.2013;91,46;;;;;15.05.2017;49,69;11.05.2016;51,42
20.10.2014;91,37;18.10.2017;54,67;08.04.2014;92,61;09.04.2013;91,24;;;;;16.05.2017;49,87;12.05.2016;51,35
21.10.2014;89,84;19.10.2017;54,49;09.04.2014;92,48;10.04.2013;90,92;;;;;17.05.2017;50,08;13.05.2016;50,55
22.10.2014;89,34;20.10.2017;54,83;10.04.2014;92,46;11.04.2013;91,53;;;;;18.05.2017;50,15;16.05.2016;51,14
23.10.2014;90,12;23.10.2017;54,59;11.04.2014;92,21;12.04.2013;91,37;;;;;19.05.2017;50,88;17.05.2016;51,72
24.10.2014;90,73;24.10.2017;55,12;14.04.2014;92,17;15.04.2013;90,39;;;;;22.05.2017;51,19;18.05.2016;51,94
27.10.2014;91,19;25.10.2017;55,24;15.04.2014;92,18;16.04.2013;90,16;;;;;23.05.2017;51,23;19.05.2016;52,06
28.10.2014;91,49;26.10.2017;55,4;16.04.2014;91,7;17.04.2013;88,88;;;;;24.05.2017;50,89;20.05.2016;51,8
29.10.2014;91,99;27.10.2017;56,03;17.04.2014;91,55;18.04.2013;87,79;;;;;25.05.2017;49,22;23.05.2016;51,95
30.10.2014;91,77;30.10.2017;56,26;21.04.2014;91,78;19.04.2013;87,8;;;;;26.05.2017;49,94;24.05.2016;52,29
31.10.2014;91,98;31.10.2017;56,35;22.04.2014;91,8;22.04.2013;88,34;;;;;30.05.2017;50,02;25.05.2016;52,8
03.11.2014;91,69;01.11.2017;55,86;23.04.2014;91,92;23.04.2013;88,27;;;;;31.05.2017;48,83;26.05.2016;52,93
04.11.2014;91,54;02.11.2017;55,55;24.04.2014;91,73;24.04.2013;88,68;;;;;01.06.2017;48,85;27.05.2016;53,19
05.11.2014;91,14;03.11.2017;56,11;25.04.2014;91,77;25.04.2013;89,49;;;;;02.06.2017;48,39;31.05.2016;53,09
06.11.2014;91,8;06.11.2017;57,05;28.04.2014;92,17;26.04.2013;89,01;;;;;05.06.2017;48,34;01.06.2016;52,98
07.11.2014;91,36;07.11.2017;57,14;29.04.2014;92,2;29.04.2013;88,43;;;;;06.06.2017;48,51;02.06.2016;53,21
10.11.2014;90,97;08.11.2017;57,7;30.04.2014;92,25;30.04.2013;88,4;;;;;07.06.2017;47,37;03.06.2016;52,65
11.11.2014;91,28;09.11.2017;58,04;01.05.2014;92,46;01.05.2013;87,34;;;;;08.06.2017;47,99;06.06.2016;53,37
12.11.2014;90,95;10.11.2017;58,44;02.05.2014;92,36;02.05.2013;88,27;;;;;09.06.2017;48,1;07.06.2016;53,9
13.11.2014;90,41;13.11.2017;58,54;05.05.2014;92,39;03.05.2013;88,86;;;;;12.06.2017;48,22;08.06.2016;54,44
14.11.2014;91,18;14.11.2017;57,33;06.05.2014;92,47;06.05.2013;89,62;;;;;13.06.2017;48,45;09.06.2016;54,09
17.11.2014;90,88;15.11.2017;57,29;07.05.2014;92,71;07.05.2013;89,54;;;;;14.06.2017;47,54;10.06.2016;53,18
18.11.2014;90,35;16.11.2017;56,81;08.05.2014;92,78;08.05.2013;89,7;;;;;15.06.2017;47,84;13.06.2016;53,06
19.11.2014;90,21;17.11.2017;57,08;09.05.2014;92,46;09.05.2013;89,14;;;;;16.06.2017;48,08;14.06.2016;52,59
20.11.2014;90,14;20.11.2017;56,64;12.05.2014;92,69;10.05.2013;89,16;;;;;19.06.2017;47,73;15.06.2016;52,16
21.11.2014;91,3;21.11.2017;56,64;13.05.2014;92,78;13.05.2013;88,85;;;;;20.06.2017;47,26;16.06.2016;50,78
