"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","LORSGPOR","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Original series","IXOBSA","Index 2010=100, s.a.","Q","Quarterly","1982-Q4","Q4-1982","IDX","Index","0","Units","2010_100","2010=100",39.6008094844549,,
"AUS","Australia","LORSGPOR","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Original series","IXOBSA","Index 2010=100, s.a.","Q","Quarterly","1983-Q1","Q1-1983","IDX","Index","0","Units","2010_100","2010=100",39.201254462574,,
"AUS","Australia","LORSGPOR","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Original series","IXOBSA","Index 2010=100, s.a.","Q","Quarterly","1983-Q2","Q2-1983","IDX","Index","0","Units","2010_100","2010=100",39.1255493005334,,
"AUS","Australia","LORSGPOR","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Original series","IXOBSA","Index 2010=100, s.a.","Q","Quarterly","1983-Q3","Q3-1983","IDX","Index","0","Units","2010_100","2010=100",40.2061703912905,,
"AUS","Australia","LORSGPOR","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Original series","IXOBSA","Index 2010=100, s.a.","Q","Quarterly","1983-Q4","Q4-1983","IDX","Index","0","Units","2010_100","2010=100",40.8844325652764,,
"AUS","Australia","LORSGPOR","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Original series","IXOBSA","Index 2010=100, s.a.","Q","Quarterly","1984-Q1","Q1-1984","IDX","Index","0","Units","2010_100","2010=100",41.9129012110723,,
"AUS","Australia","LORSGPOR","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Original series","IXOBSA","Index 2010=100, s.a.","Q","Quarterly","1984-Q2","Q2-1984","IDX","Index","0","Units","2010_100","2010=100",42.3954515217088,,
"AUS","Australia","LORSGPOR","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Original series","IXOBSA","Index 2010=100, s.a.","Q","Quarterly","1984-Q3","Q3-1984","IDX","Index","0","Units","2010_100","2010=100",42.7860340799404,,
"AUS","Australia","LORSGPOR","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Original series","IXOBSA","Index 2010=100, s.a.","Q","Quarterly","1984-Q4","Q4-1984","IDX","Index","0","Units","2010_100","2010=100",43.0894155070809,,
"AUS","Australia","LORSGPOR","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Original series","IXOBSA","Index 2010=100, s.a.","Q","Quarterly","1985-Q1","Q1-1985","IDX","Index","0","Units","2010_100","2010=100",43.6199124203431,,
"AUS","Australia","LORSGPOR","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Original series","IXOBSA","Index 2010=100, s.a.","Q","Quarterly","1985-Q2","Q2-1985","IDX","Index","0","Units","2010_100","2010=100",44.5855738205942,,
"AUS","Australia","LORSGPOR","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Original series","IXOBSA","Index 2010=100, s.a.","Q","Quarterly","1985-Q3","Q3-1985","IDX","Index","0","Units","2010_100","2010=100",45.270565342317,,
"AUS","Australia","LORSGPOR","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Original series","IXOBSA","Index 2010=100, s.a.","Q","Quarterly","1985-Q4","Q4-1985","IDX","Index","0","Units","2010_100","2010=100",45.1155099548783,,
"AUS","Australia","LORSGPOR","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Original series","IXOBSA","Index 2010=100, s.a.","Q","Quarterly","1986-Q1","Q1-1986","IDX","Index","0","Units","2010_100","2010=100",45.405993465523,,
